old_name,new_name,item_type,module,model
supplier_invoice_count,count_supplier_invoice,field,account,res.partner
product_count,count_product,field,product,product.category
combo_item_count,count_combo_item,field,product,product.combo
product_variant_count,count_product_variant,field,product,product.pricelist.item
pricelist_item_count,count_pricelist_item,field,product,product.product
product_document_count,count_product_document,field,product,product.product
open_pricelist_rules,action_open_pricelist_rules,method,product,product.product
open_product_template,action_open_product_template,method,product,product.product
product_variant_count,count_product_variant,field,product,product.supplierinfo
product_variant_count,count_product_variant,field,product,product.template
pricelist_item_count,count_pricelist_item,field,product,product.template
product_document_count,count_product_document,field,product,product.template
open_pricelist_rules,action_open_pricelist_rules,method,product,product.template
packaging_barcodes_count,count_packaging_barcodes,field,product,uom.uom
product_count,count_product,field,product,update.product.attribute.value
order_line,line_ids,field,purchase,purchase.order
invoice_status,invoice_state,field,purchase,purchase.order
onchange_date_planned,_onchange_date_planned,method,purchase,purchase.order
price_unit_discounted,price_unit_discounted_taxinc,field,purchase,purchase.order.line
qty_received,qty_transfered,field,purchase,purchase.order.line
purchase_order_count,count_purchase_order,field,purchase,res.partner
purchase_order_count,count_purchase_order,field,purchase_mrp,mrp.production
effective_date,date_effective,field,purchase_stock,purchase.order
sale_order_count,count_sale_order,field,sale,account.move
quotations_count,count_quotations,field,sale,crm.team
quotations_amount,amount_quotations,field,sale,crm.team
sales_to_invoice_count,count_sales_to_invoice,field,sale,crm.team
sale_order_count,count_sale_order,field,sale,crm.team
sale_order_count,count_sale_order,field,sale,res.partner
commitment_date,date_commitment,field,sale,sale.order
validity_date,date_validity,field,sale,sale.order
order_line,line_ids,field,sale,sale.order
amount_to_invoice,amount_to_invoice_taxinc,field,sale,sale.order
amount_invoiced,amount_invoiced_taxinc,field,sale,sale.order
invoice_status,invoice_state,field,sale,sale.order
order_partner_id,partner_id,field,sale,sale.order.line
qty_delivered,qty_transfered,field,sale,sale.order.line
invoice_status,invoice_state,field,sale,sale.order.line
amount_invoiced,amount_invoiced_taxinc,field,sale,sale.order.line
amount_to_invoice,amount_to_invoice_taxinc,field,sale,sale.order.line
quotation_count,count_quotation,field,sale,utm.campaign
sale_orders_count,count_sale_orders,field,sale,sale.mass.cancel.orders
view_draft_invoices,action_view_draft_invoices,method,sale,sale.advance.payment.inv
sale_order_count,count_sale_order,field,sale_purchase,purchase.order
purchase_order_count,count_purchase_order,field,sale_purchase,sale.order
effective_date,date_effective,field,sale_stock,sale.order
forecast_expected_date,date_planned_forecast,field,sale_stock,sale.order.line
free_qty_today,qty_free_today,field,sale_stock,sale.order.line
delay_alert_date,date_delay_alert,field,stock,stock.move
reservation_date,date_reservation,field,stock,stock.move
delay_alert_date,date_delay_alert,field,stock,stock.picking
_compute_supplier_invoice_count,_compute_count_supplier_invoice,method,account,res.partner
_get_display_price,_get_price_display,method,event_booth_sale,sale.order.line
_get_display_price,_get_price_display,method,event_sale,sale.order.line
_get_destination_location,_get_location_destination,method,mrp_subcontracting_dropshipping,purchase.order
_compute_product_count,_compute_count_product,method,product,product.category
_compute_combo_item_count,_compute_count_combo_item,method,product,product.combo
_compute_product_document_count,_compute_count_product_document,method,product,product.product
_compute_product_document_count,_compute_count_product_document,method,product,product.template
_compute_product_variant_count,_compute_count_product_variant,method,product,product.template
_compute_packaging_barcodes_count,_compute_count_packaging_barcodes,method,product,uom.uom
_compute_product_count,_compute_count_product,method,product,update.product.attribute.value
action_rfq_send,action_send_rfq,method,purchase,purchase.order
_get_gross_price_unit,_get_price_unit_gross,method,purchase,purchase.order.line
_compute_purchase_order_count,_compute_count_purchase_order,method,purchase,res.partner
_compute_purchase_order_count,_compute_count_purchase_order,method,purchase_mrp,mrp.production
_get_qty_procurement,_get_procurement_qty,method,purchase_mrp,purchase.order.line
_compute_effective_date,_compute_date_effective,method,purchase_stock,purchase.order
_get_destination_location,_get_location_destination,method,purchase_stock,purchase.order
_create_or_update_picking,_update_or_create_picking,method,purchase_stock,purchase.order.line
