change_id,old_name,new_name,item_type,module,model,change_scope,impact_type,context,confidence,parent_change_id
1,supplier_invoice_count,count_supplier_invoice,field,account,res.partner,model,primary,,1.000,
2,_compute_supplier_invoice_count,_compute_count_supplier_invoice,method,account,res.partner,model,primary,,1.000,
5,_get_display_price,_get_price_display,method,event_booth_sale,sale.order.line,model,primary,,1.000,
6,_get_display_price,_get_price_display,method,event_sale,sale.order.line,model,primary,,1.000,
11,open_assignation_logs,action_view_assignation_logs,method,fleet,fleet.vehicle,model,primary,,1.000,
16,_get_destination_location,_get_location_destination,method,mrp_subcontracting_dropshipping,purchase.order,model,primary,,1.000,
23,action_open_product_template_attribute_lines,action_view_product_template_attribute_lines,method,product,product.attribute,model,primary,,1.000,
26,product_count,count_product,field,product,product.category,model,primary,,1.000,
27,_compute_product_count,_compute_count_product,method,product,product.category,model,primary,,1.000,
28,combo_item_count,count_combo_item,field,product,product.combo,model,primary,,1.000,
29,_compute_combo_item_count,_compute_count_combo_item,method,product,product.combo,model,primary,,1.000,
30,product_variant_count,count_product_variant,field,product,product.pricelist.item,model,primary,,1.000,
31,product_document_count,count_product_document,field,product,product.product,model,primary,,1.000,
32,pricelist_item_count,count_pricelist_item,field,product,product.product,model,primary,,1.000,
33,open_product_template,action_open_product_template,method,product,product.product,model,primary,,1.000,
34,open_pricelist_rules,action_open_pricelist_rules,method,product,product.product,model,primary,,1.000,
35,_compute_product_document_count,_compute_count_product_document,method,product,product.product,model,primary,,1.000,
36,product_variant_count,count_product_variant,field,product,product.supplierinfo,model,primary,,1.000,
37,product_variant_count,count_product_variant,field,product,product.template,model,primary,,1.000,
38,product_document_count,count_product_document,field,product,product.template,model,primary,,1.000,
39,pricelist_item_count,count_pricelist_item,field,product,product.template,model,primary,,1.000,
40,open_pricelist_rules,action_open_pricelist_rules,method,product,product.template,model,primary,,1.000,
41,_compute_product_variant_count,_compute_count_product_variant,method,product,product.template,model,primary,,1.000,
42,_compute_product_document_count,_compute_count_product_document,method,product,product.template,model,primary,,1.000,
44,packaging_barcodes_count,count_packaging_barcodes,field,product,uom.uom,model,primary,,1.000,
45,_compute_packaging_barcodes_count,_compute_count_packaging_barcodes,method,product,uom.uom,model,primary,,1.000,
46,product_count,count_product,field,product,update.product.attribute.value,model,primary,,1.000,
47,_compute_product_count,_compute_count_product,method,product,update.product.attribute.value,model,primary,,1.000,
49,invoice_count,count_invoice_ids,field,purchase,purchase.order,model,primary,,1.000,
54,onchange_date_planned,_onchange_date_planned,method,purchase,purchase.order,model,primary,,1.000,
55,action_rfq_send,action_send_rfq,method,purchase,purchase.order,model,primary,,1.000,
56,_compute_invoice,_compute_invoice_ids,method,purchase,purchase.order,model,primary,,1.000,
57,_update_date_planned_for_lines,_update_order_lines_date_planned,method,purchase,purchase.order,model,primary,,0.900,
67,_get_gross_price_unit,_get_price_unit_gross,method,purchase,purchase.order.line,model,primary,,1.000,
68,_compute_tax_id,_compute_tax_ids,method,purchase,purchase.order.line,model,primary,,1.000,
76,purchase_order_count,count_purchase_order,field,purchase,res.partner,model,primary,,1.000,
77,_compute_purchase_order_count,_compute_count_purchase_order,method,purchase,res.partner,model,primary,,1.000,
78,purchase_order_count,count_purchase_order,field,purchase_mrp,mrp.production,model,primary,,1.000,
79,_compute_purchase_order_count,_compute_count_purchase_order,method,purchase_mrp,mrp.production,model,primary,,1.000,
80,_get_qty_procurement,_get_procurement_qty,method,purchase_mrp,purchase.order.line,model,primary,,1.000,
81,_get_move_dests_initial_demand,_get_stock_move_dests_initial_demand,method,purchase_mrp,purchase.order.line,model,primary,,0.900,
84,effective_date,date_effective,field,purchase_stock,purchase.order,model,primary,,1.000,
87,_get_destination_location,_get_location_destination,method,purchase_stock,purchase.order,model,primary,,1.000,
88,_compute_effective_date,_compute_date_effective,method,purchase_stock,purchase.order,model,primary,,1.000,
97,_get_qty_procurement,_get_procurement_qty,method,purchase_stock,purchase.order.line,model,primary,,1.000,
98,_create_or_update_picking,_update_or_create_picking,method,purchase_stock,purchase.order.line,model,primary,,1.000,
99,_update_move_date_deadline,_update_stock_move_date_deadline,method,purchase_stock,purchase.order.line,model,primary,,0.900,
